60,平常点(In-class Points),100,Class attendance and participation(60%) 、最終レポート(Final Report)(15%) 、Effort(25%)
61,平常点(In-class Points),100,実技(30%) 、グループプレゼンテーション(30%) 、出席・授業態度(30%) 、クイズ(10%)
62,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、授業への参加態度(50%) 、技術の習熟度(20%)
63,平常点(In-class Points),100,プログラムへの参加意欲、態度(70%) 、講義に対するレポート(30%)
64,平常点(In-class Points),100,授業への参加度(50%) 、グループワークの取り組み(20%) 、レポート(30%)
65,平常点(In-class Points),100,授業への参加度(50%) 、グループワークの取り組み(20%) 、レポート(30%)
66,平常点(In-class Points),100,授業への参加態度(70%) 、技術の習熟度(30%)
67,筆記試験(Written Exam),60,""
67,平常点(In-class Points),40,リアクションペーパー(40%)
68,筆記試験(Written Exam),50,""
68,平常点(In-class Points),50,授業内小テスト(40%) 、出席および授業に取り組む姿勢(10%)
69,平常点(In-class Points),100,最終テスト(Final Test)(40%) 、毎週の漢文課題(10%) 、平常点（リアクションペーパーによる着眼点考察）(50%)
70,筆記試験(Written Exam),60,""
70,平常点(In-class Points),40,授業態度(10%) 、リアクションペーパー(30%)
71,筆記試験(Written Exam),50,""
71,平常点(In-class Points),50,出席と授業態度(20%) 、コメントペーパー(30%)
72,筆記試験(Written Exam),50,""
72,平常点(In-class Points),50,出席および授業に取り組む姿勢(10%) 、提出物(40%)
73,筆記試験(Written Exam),50,""
73,平常点(In-class Points),50,出席および授業に取り組む姿勢(10%) 、提出物(40%)
74,平常点(In-class Points),100,出席およびリアクションペーパーの内容(60%) 、最終テスト(Final Test)(40%)
75,筆記試験(Written Exam),100,""
76,平常点(In-class Points),100,授業参加とコメントカード(25%) 、口頭発表(25%) 、ミニレポート(25%) 、最終レポート(Final Report)(25%)
77,平常点(In-class Points),100,小テスト（１）(33%) 、小テスト（２）(33%) 、小テスト（３）(34%)
78,平常点(In-class Points),100,Classroom participation(40%) 、Presentation(30%) 、Essay(30%)
79,筆記試験(Written Exam),100,""
80,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、term essays (2×15%)(30%) 、presentation(20%) 、questions (20%)
81,平常点(In-class Points),100,最終テスト(Final Test)(40%) 、授業中のリアクションペーパー(30%) 、出席率(30%)
