1,11,33,CMP2100,多彩１,イスラームの世界,青木　健,1,a_1,8202,1,2016年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FA106&value(crclumcd)=,2017
2,11,33,CMP2300,多彩３/主総Ａ３,キリスト教美術,黒岩　三恵,2,a_1,MB01,1,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FC123&value(crclumcd)=,2017
3,11,33,CMP1100,学び精神,グローバル社会での平和構築,堀　芳枝,1,a_1,D401,1,2016年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FH165&value(crclumcd)=,2017
4,11,33,CMP2500,多彩５/主Ａ５,情報科学Ａ,佐藤　尚,2,a_1,8202,1,2006年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FE125&value(crclumcd)=,2017
5,11,33,CMP2200,多彩２/主総Ａ２,市民活動の組織とマネジメント,原田　晃樹,2,a_1,1202,1,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FB132&value(crclumcd)=,2017
6,11,33,CMP2100,多彩１/主総Ａ１,スペイン語圏の文化,飯島　みどり,2,a_1,N323,2,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FA026&value(crclumcd)=,2017
7,11,33,CMP1220,スポーツ,スポーツスタディ２(セルフケア・エクササイズ),大石　友子,1,a_1,NTE1,2,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FI701&value(crclumcd)=,2017
8,11,33,CMP1220,スポーツ,スポーツスタディ２(トレーニング),岡田　純一,1,a_1,PB12,1,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FI727&value(crclumcd)=,2017
9,11,33,CMP1220,スポーツ,スポーツスタディ２(トレーニング),岡田　純一,2,a_1,PB12,1,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FI760&value(crclumcd)=,2017
10,11,33,CMP2400,多彩４/主総Ａ４,スポーツと文化,高峰　修,2,a_1,N431,2,"",https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FD015&value(crclumcd)=,2017
